321.65,164.10,61.80,118.20
321.63,163.92,62.00,118.50
321.68,163.87,62.07,118.53
321.23,163.65,62.30,118.90
317.10,163.43,62.53,119.27
316.98,163.22,62.77,119.63
317.00,163.00,63.00,120.00
316.86,163.00,62.90,119.97
316.73,163.00,62.80,119.93
316.64,163.10,62.60,119.70
316.52,163.13,62.47,119.60
315.98,162.33,63.17,121.17
315.88,162.40,63.00,121.00
316.16,163.23,62.07,119.30
315.67,162.53,62.67,120.67
314.87,161.55,63.90,122.60
315.47,162.67,62.33,120.33
315.68,163.37,61.53,118.90
315.13,163.40,61.40,118.80
314.69,162.87,61.83,119.83
314.55,162.93,61.67,119.67
313.91,162.25,62.50,121.00
316.59,163.07,61.33,119.33
314.13,163.13,61.17,119.17
318.42,163.20,61.00,119.00
320.66,162.72,61.57,119.93
321.02,163.33,60.67,118.67
321.02,163.40,60.50,118.50
321.02,163.47,60.33,118.33
320.78,163.18,60.63,118.87
320.81,163.30,60.40,118.60
321.01,163.67,59.83,117.83
321.01,163.73,59.67,117.67
321.01,163.80,59.50,117.50
321.00,163.87,59.33,117.33
321.00,163.93,59.17,117.17
321.00,164.00,59.00,117.00
320.96,164.11,59.03,116.83
320.91,164.23,59.07,116.67
320.87,164.34,59.10,116.50
320.76,164.26,59.27,116.73
320.70,164.32,59.33,116.67
320.63,164.39,59.40,116.60
320.57,164.45,59.47,116.53
318.26,164.92,59.27,115.67
313.86,164.58,59.60,116.40
313.91,164.65,59.67,116.33
313.96,164.71,59.73,116.27
314.01,164.77,59.80,116.20
314.28,165.49,59.43,114.83
314.35,166.10,59.47,114.67
314.16,165.50,60.00,116.00
314.21,165.60,60.07,115.93
314.26,165.70,60.13,115.87
314.31,165.80,60.20,115.80
314.37,165.90,60.27,115.73
314.42,166.00,60.33,115.67
314.47,166.10,60.40,115.60
314.52,166.20,60.47,115.53
314.57,166.30,60.53,115.47
314.62,166.40,60.60,115.40
314.67,166.50,60.67,115.33
314.29,165.73,61.60,117.00
315.32,165.80,61.70,117.00
315.07,164.93,62.73,118.87
319.85,165.93,61.90,117.00
320.00,166.00,62.00,117.00
320.11,165.90,62.07,117.07
320.22,165.80,62.13,117.13
319.03,163.55,64.80,121.50
319.21,163.57,64.73,121.33
320.22,164.83,63.00,118.67
320.36,164.80,63.00,118.60
321.01,165.77,62.00,116.53
320.28,165.73,62.00,116.47
320.31,165.70,62.00,116.40
320.35,165.67,62.00,116.33
320.38,165.63,62.00,116.27
320.41,165.60,62.00,116.20
320.45,165.57,62.00,116.13
320.48,165.53,62.00,116.07
320.52,165.50,62.00,116.00
320.29,164.93,62.53,117.00
320.02,164.30,63.13,118.13
318.25,164.20,63.20,118.20
315.66,164.37,63.00,117.73
314.38,164.67,62.67,117.00
314.69,164.90,62.40,116.40
316.10,165.20,62.20,115.67
316.09,165.05,62.30,115.83
315.68,164.10,63.20,117.60
316.06,164.75,62.50,116.17
315.98,164.40,62.73,116.73
316.04,164.45,62.70,116.50
316.03,164.30,62.80,116.67
316.01,164.15,62.90,116.83
316.00,164.00,63.00,117.00
315.95,163.95,63.00,117.20
315.81,163.74,63.20,117.73
316.13,163.51,63.40,118.30
316.61,164.22,62.67,117.00
317.14,165.44,61.83,114.67
317.17,165.23,62.00,115.20
320.12,161.16,62.87,116.90
320.21,162.44,64.60,121.27
320.40,162.47,64.40,121.30
320.36,162.17,64.67,122.00
320.32,160.48,64.93,122.70
319.98,159.65,65.80,124.60
321.01,160.67,65.03,122.80
321.03,160.49,65.27,123.40
321.05,160.32,65.50,124.00
321.86,160.81,64.13,121.93
318.38,159.25,65.97,125.20
318.84,164.66,65.00,124.00
318.15,159.44,65.53,125.23
317.93,158.97,66.00,126.33
317.89,158.87,66.10,126.70
317.85,158.78,66.20,127.07
319.35,161.36,63.23,122.07
316.13,162.58,62.40,119.80
316.03,162.65,62.33,119.83
316.35,163.59,61.40,118.13
315.70,163.54,61.50,118.40
315.93,163.93,61.07,117.80
315.98,164.01,61.00,117.80
316.00,164.00,61.00,118.00
315.90,164.13,61.03,117.87
315.80,164.27,61.07,117.73
316.20,165.40,60.10,115.60
315.66,164.67,61.00,117.20
314.75,162.75,62.67,121.17
315.09,164.20,61.80,118.40
315.53,165.40,60.77,116.13
315.46,165.60,60.73,115.87
315.24,165.50,61.00,116.20
315.32,166.00,60.67,115.33
315.26,166.20,60.63,115.07
314.99,166.00,61.00,115.60
314.90,166.17,61.00,115.40
318.94,165.87,61.47,116.13
321.81,166.50,61.00,115.00
322.12,166.20,61.47,115.73
321.90,165.75,61.87,116.77
321.32,165.00,63.00,118.40
321.56,165.88,62.47,116.77
321.61,166.17,62.33,116.33
321.66,166.45,62.20,115.90
321.71,166.73,62.07,115.47
321.75,167.02,61.93,115.03
318.13,167.50,61.40,114.20
317.50,166.75,62.50,115.83
319.92,168.00,61.27,113.47
319.94,168.25,61.20,113.10
319.96,168.50,61.13,112.73
319.98,168.75,61.07,112.37
320.00,169.00,61.00,112.00
319.97,168.84,61.07,112.24
315.69,168.79,61.07,112.28
316.45,170.48,59.31,108.83
316.43,170.45,59.28,108.83
315.93,169.48,60.17,110.69
315.48,168.59,61.00,112.41
315.44,168.52,61.00,112.48
315.75,169.17,60.28,111.10
315.85,169.38,60.00,110.62
315.31,168.31,61.00,112.69
